movieId,title,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,decade,avg_rating,num_ratings
1,Toy Story,1995.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990.0,4.380952380952381,147
2,Jumanji,1995.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990.0,4.21,50
3,Grumpier Old Men,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1990.0,4.333333333333333,18
5,Father of the Bride Part II,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.291666666666667,12
6,Heat,1995.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1990.0,4.405797101449275,69
7,Sabrina,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1990.0,4.15,20
10,GoldenEye,1995.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990.0,4.254237288135593,59
11,"American President, The",1995.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1990.0,4.267441860465116,43
14,Nixon,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.25,12
16,Casino,1995.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.4035087719298245,57
17,Sense and Sensibility,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1990.0,4.5,40
18,Four Rooms,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.363636363636363,11
19,Ace Ventura: When Nature Calls,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.222222222222222,18
21,Get Shorty,1995.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1990.0,4.2,45
25,Leaving Las Vegas,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1990.0,4.441860465116279,43
